NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING	GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING		123	-0.12073896	-0.40207702	1.0	1.0	1.0	27358	tags=97%, list=74%, signal=371%	
GOBP_LAMELLIPODIUM_ORGANIZATION	GOBP_LAMELLIPODIUM_ORGANIZATION		95	-0.12502714	-0.40034583	1.0	1.0	1.0	32344	tags=100%, list=88%, signal=800%	
GOBP_NEUTROPHIL_HOMEOSTASIS	GOBP_NEUTROPHIL_HOMEOSTASIS		29	-0.1521857	-0.4002607	1.0	1.0	1.0	31333	tags=100%, list=85%, signal=657%	
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION		454	-0.10608722	-0.40010282	1.0	1.0	1.0	9276	tags=13%, list=25%, signal=18%	
GOBP_RECEPTOR_RECYCLING	GOBP_RECEPTOR_RECYCLING		64	-0.13081832	-0.3991372	1.0	1.0	1.0	3339	tags=3%, list=9%, signal=3%	
GOBP_RRNA_CATABOLIC_PROCESS	GOBP_RRNA_CATABOLIC_PROCESS		19	-0.16514134	-0.39864898	1.0	1.0	1.0	30853	tags=100%, list=83%, signal=606%	
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT	GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT		41	-0.14021178	-0.3983831	1.0	1.0	1.0	2782	tags=2%, list=8%, signal=3%	
GOBP_FATTY_ACID_BETA_OXIDATION	GOBP_FATTY_ACID_BETA_OXIDATION		78	-0.12457878	-0.3949552	1.0	1.0	1.0	9315	tags=17%, list=25%, signal=22%	
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	GOBP_AMIDE_BIOSYNTHETIC_PROCESS		172	-0.11412224	-0.39402515	1.0	1.0	1.0	8933	tags=15%, list=24%, signal=19%	
GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS		18	-0.16364735	-0.39389026	0.99822694	1.0	1.0	6177	tags=17%, list=17%, signal=20%	
GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY	GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY		74	-0.12657812	-0.39353228	1.0	1.0	1.0	8376	tags=15%, list=23%, signal=19%	
GOBP_CARBOHYDRATE_PHOSPHORYLATION	GOBP_CARBOHYDRATE_PHOSPHORYLATION		24	-0.15021528	-0.39321414	1.0	1.0	1.0	31405	tags=100%, list=85%, signal=666%	
GOBP_LAMELLIPODIUM_ASSEMBLY	GOBP_LAMELLIPODIUM_ASSEMBLY		73	-0.12495254	-0.39094174	1.0	1.0	1.0	32344	tags=100%, list=88%, signal=800%	
GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING	GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING		79	-0.12417624	-0.39013004	1.0	1.0	1.0	902	tags=1%, list=2%, signal=1%	
GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS	GOBP_NEGATIVE_REGULATION_OF_EXOCYTOSIS		39	-0.13975622	-0.38999027	1.0	1.0	1.0	3940	tags=5%, list=11%, signal=6%	
GOBP_POSTSYNAPSE_TO_NUCLEUS_SIGNALING_PATHWAY	GOBP_POSTSYNAPSE_TO_NUCLEUS_SIGNALING_PATHWAY		16	-0.1691079	-0.38877472	0.99824256	1.0	1.0	30706	tags=100%, list=83%, signal=591%	
GOBP_RESPONSE_TO_INTERLEUKIN_7	GOBP_RESPONSE_TO_INTERLEUKIN_7		25	-0.14919026	-0.38739672	0.99825174	1.0	1.0	31443	tags=100%, list=85%, signal=670%	
GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY		46	-0.13373809	-0.38573766	1.0	1.0	1.0	9248	tags=20%, list=25%, signal=26%	
GOBP_CYTOKINESIS	GOBP_CYTOKINESIS		179	-0.11012652	-0.3854173	1.0	1.0	1.0	29903	tags=98%, list=81%, signal=513%	
GOBP_RECOMBINATIONAL_REPAIR	GOBP_RECOMBINATIONAL_REPAIR		190	-0.10897189	-0.3817092	1.0	1.0	1.0	8462	tags=11%, list=23%, signal=14%	
GOBP_NUCLEOTIDE_TRANSPORT	GOBP_NUCLEOTIDE_TRANSPORT		43	-0.13544776	-0.380768	1.0	1.0	1.0	6270	tags=9%, list=17%, signal=11%	
GOBP_REGULATION_OF_MAP_KINASE_ACTIVITY	GOBP_REGULATION_OF_MAP_KINASE_ACTIVITY		114	-0.11567674	-0.38040835	1.0	1.0	1.0	8857	tags=14%, list=24%, signal=18%	
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION		15	-0.16009988	-0.37629595	1.0	1.0	1.0	13332	tags=47%, list=36%, signal=73%	
GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION	GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION		247	-0.10416641	-0.37471917	1.0	1.0	1.0	9117	tags=14%, list=25%, signal=19%	
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS		109	-0.11286913	-0.37201026	1.0	1.0	1.0	9062	tags=13%, list=25%, signal=17%	
GOBP_POSITIVE_REGULATION_OF_CELL_DIVISION	GOBP_POSITIVE_REGULATION_OF_CELL_DIVISION		85	-0.11601497	-0.37080425	1.0	1.0	1.0	405	tags=1%, list=1%, signal=1%	
GOBP_REGULATION_OF_GTPASE_ACTIVITY	GOBP_REGULATION_OF_GTPASE_ACTIVITY		149	-0.10755172	-0.36914068	1.0	1.0	1.0	28556	tags=99%, list=77%, signal=432%	
GOBP_HEMOGLOBIN_METABOLIC_PROCESS	GOBP_HEMOGLOBIN_METABOLIC_PROCESS		21	-0.14990523	-0.3688915	1.0	1.0	1.0	31416	tags=100%, list=85%, signal=667%	
GOBP_MITOTIC_RECOMBINATION	GOBP_MITOTIC_RECOMBINATION		27	-0.14183824	-0.36883247	1.0	1.0	1.0	8762	tags=19%, list=24%, signal=24%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY		100	-0.11334483	-0.36806178	1.0	1.0	1.0	9170	tags=15%, list=25%, signal=20%	
GOBP_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	GOBP_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY		27	-0.13940643	-0.366974	1.0	1.0	1.0	8609	tags=15%, list=23%, signal=19%	
GOBP_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	GOBP_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY		130	-0.10918902	-0.36392048	1.0	1.0	1.0	8537	tags=12%, list=23%, signal=15%	
GOBP_GERMINAL_CENTER_FORMATION	GOBP_GERMINAL_CENTER_FORMATION		16	-0.15437932	-0.3623045	1.0	1.0	1.0	31250	tags=100%, list=85%, signal=648%	
GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY		63	-0.11801585	-0.3621295	1.0	1.0	1.0	27576	tags=97%, list=75%, signal=381%	
GOBP_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	GOBP_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS		25	-0.13562259	-0.3566879	1.0	1.0	1.0	31944	tags=100%, list=86%, signal=737%	
