NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_HEART_PROCESS	GOBP_HEART_PROCESS		249	0.4414254	1.7303282	0.0	0.15356626	0.972	5071	tags=17%, list=14%, signal=19%	
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL		28	0.6283231	1.7268711	0.0022727272	0.15733287	0.976	5552	tags=21%, list=15%, signal=25%	
GOBP_MEMBRANE_REPOLARIZATION	GOBP_MEMBRANE_REPOLARIZATION		51	0.5384844	1.7215606	0.0	0.16456033	0.981	2656	tags=22%, list=7%, signal=23%	
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS		29	0.6034203	1.7187005	0.004796163	0.1669545	0.984	1752	tags=17%, list=5%, signal=18%	
GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS	GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS		81	0.50041395	1.706923	0.0	0.18712288	0.995	2430	tags=14%, list=7%, signal=15%	
GOBP_MUSCLE_ORGAN_MORPHOGENESIS	GOBP_MUSCLE_ORGAN_MORPHOGENESIS		93	0.48832572	1.7055019	0.0	0.18629469	0.995	7343	tags=25%, list=20%, signal=31%	
GOBP_PEPTIDE_CROSS_LINKING	GOBP_PEPTIDE_CROSS_LINKING		25	0.63074076	1.7024971	0.009070295	0.18892898	0.996	868	tags=20%, list=2%, signal=20%	
GOBP_MUSCLE_CONTRACTION	GOBP_MUSCLE_CONTRACTION		370	0.41392478	1.7016824	0.0	0.1866994	0.996	5552	tags=16%, list=15%, signal=18%	
GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION		22	0.641181	1.6917671	0.004608295	0.20422858	0.999	3855	tags=18%, list=10%, signal=20%	
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION		73	0.50543743	1.6882257	0.0	0.20809694	0.999	5552	tags=21%, list=15%, signal=24%	
